"text","created","url","latitude","longitude","retweets","hashtag"
"Guy talking to girl in the lib says <e2><80><9c>I saw you went to chipotle again. You<e2><80><99>re always at chipotle<e2><80><9d> so judgmentally that even I felt attacked.",2017-11-29 22:13:48,"https://twitter.com/megs_michelle_/status/935995235943018498",NA,NA,0,"chipotle"
"Chipotle sucks ass",2017-11-29 22:13:47,"https://twitter.com/Mattgeezzy/status/935995230083362816",NA,NA,0,"chipotle"
"@AstrosCounty @ChipotleTweets Love that Chipotle! #TXST",2017-11-29 22:13:41,"https://twitter.com/KyleRobinson10/status/935995204716433408",NA,NA,0,"chipotle"
"Right now! Go to Chipotle  on Chipman Rd by 9pm to help LSW Titan Archery!! Don<e2><80><99>t forget to show this at the regist<e2><80><a6> https://t.co/vmtipoSYyH",2017-11-29 22:13:40,"https://twitter.com/Makenzi_Lynn/status/935995199792340992",NA,NA,0,"chipotle"
"hey @KohlsCareers can you get people trained properly to direct drivers out of your parking lot because nobody is p<e2><80><a6> https://t.co/hyhKntgtOv",2017-11-29 22:13:18,"https://twitter.com/ididntsayfudge_/status/935995107437891584",NA,NA,0,"chipotle"
"COME TO CHIPOTLE ON 28th St to support women<e2><80><99>s chorale 5-9",2017-11-29 22:13:15,"https://twitter.com/Grace_Hoffman/status/935995097677750272",NA,NA,0,"chipotle"
"@SMEconie ""i love chipotle. chipotle's my liiiffe.""",2017-11-29 22:13:15,"https://twitter.com/gbriellamarch/status/935995097514115074",NA,NA,0,"chipotle"
"Chipotle seeks turnaround expert to replace Ells as CEO https://t.co/bN7fbys2Lr Reuters",2017-11-29 22:13:15,"https://twitter.com/AbbiejAbbieja/status/935995097153404928",NA,NA,0,"chipotle"
"really want some Chipotle <ed><a0><bd><ed><b8><a9>",2017-11-29 22:13:13,"https://twitter.com/mixed__xo/status/935995086411837440",NA,NA,0,"chipotle"
"Chipotle needs a new CEO.  Fortunately, @FoolJeffFischer &amp; @TMFOtter have some suggestions. $CMG<e2><80><a6> https://t.co/fpzEVqU7ob",2017-11-29 22:12:41,"https://twitter.com/MarketFoolery/status/935994955411132418",NA,NA,1,"chipotle"
"Can<e2><80><99>t wait till they open the chipotle by my crib <ed><a0><bd><ed><b8><a9><ed><a0><bc><ed><bc><af>",2017-11-29 22:12:38,"https://twitter.com/YngCJ/status/935994939565117441",NA,NA,0,"chipotle"
"@KR9582 I'm sorry about that but we can get you taken care of at https://t.co/nrhUDiEk7G. -Gabe",2017-11-29 22:12:32,"https://twitter.com/ChipotleTweets/status/935994916353859584",NA,NA,0,"chipotle"
"Chipotle is replacing its CEO, founder Steve Ells https://t.co/jciHS2tACn via @USATODAYmoney",2017-11-29 22:12:31,"https://twitter.com/FEIChicago/status/935994911140274176",NA,NA,0,"chipotle"
"Chipotle looking to hire a new CEO
https://t.co/jMdrIAF6MO",2017-11-29 22:12:30,"https://twitter.com/TougalooTree/status/935994906887249921",NA,NA,0,"chipotle"
